time,scanner,advertiser,power,rssi
2022-02-06T15:26:48Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:48Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:49Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:49Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:49Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:53Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:53Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:54Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:54Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:54Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:54Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:55Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:55Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:55Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:55Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:55Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:55Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:55Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:56Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:56Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:56Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:56Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:56Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:56Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:57Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:57Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:57Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:57Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:58Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:58Z,1718992394932994344,414089200665806602,-7,-72
2022-02-06T15:26:58Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:58Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:58Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:58Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:59Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:59Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:59Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:27:00Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:27:00Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:27:00Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:27:00Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:27:00Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:00Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:00Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:01Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:01Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:01Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:01Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:01Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:01Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:02Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:02Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:02Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:02Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:02Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:02Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:02Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:03Z,1718992394932994344,414089200665806602,-7,-68
2022-02-06T15:27:03Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:03Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:03Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:03Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:04Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:04Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:04Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:04Z,1718992394932994344,414089200665806602,-7,-67
2022-02-06T15:27:04Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:05Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:05Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:05Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:05Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:05Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:06Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:06Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:06Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:06Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:06Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:06Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:07Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:07Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:07Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:07Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:07Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:07Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:07Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:08Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:08Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:08Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:12Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:13Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:13Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:13Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:13Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:13Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:14Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:14Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:14Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:14Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:14Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:14Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:15Z,1718992394932994344,414089200665806602,-7,-67
2022-02-06T15:27:15Z,1718992394932994344,414089200665806602,-7,-68
2022-02-06T15:27:15Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:15Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:16Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:16Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:16Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:16Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:16Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:27:17Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:17Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:17Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:17Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:17Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:17Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:17Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:17Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:18Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:18Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:18Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:27:18Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:15Z,414089200665806602,1718992394932994344,-11,-80
2022-02-06T15:26:15Z,414089200665806602,1718992394932994344,-11,-80
2022-02-06T15:26:15Z,414089200665806602,1718992394932994344,-11,-83
2022-02-06T15:26:15Z,414089200665806602,1718992394932994344,-11,-80
2022-02-06T15:26:16Z,414089200665806602,1718992394932994344,-11,-80
2022-02-06T15:26:16Z,414089200665806602,1718992394932994344,-11,-84
2022-02-06T15:26:17Z,414089200665806602,1718992394932994344,-11,-81
2022-02-06T15:26:17Z,414089200665806602,1718992394932994344,-11,-79
2022-02-06T15:26:17Z,414089200665806602,1718992394932994344,-11,-80
2022-02-06T15:26:17Z,414089200665806602,1718992394932994344,-11,-84
2022-02-06T15:26:18Z,414089200665806602,1718992394932994344,-11,-77
2022-02-06T15:26:18Z,414089200665806602,1718992394932994344,-11,-82
2022-02-06T15:26:18Z,414089200665806602,1718992394932994344,-11,-79
2022-02-06T15:26:19Z,414089200665806602,1718992394932994344,-11,-79
2022-02-06T15:26:19Z,414089200665806602,1718992394932994344,-11,-83
2022-02-06T15:26:19Z,414089200665806602,1718992394932994344,-11,-79
2022-02-06T15:26:19Z,414089200665806602,1718992394932994344,-11,-78
